English Province,Farsi Province,English City,Farsi City
Fars,فارس,Kazerun,كازرون
Fars,فارس,Khaneh Zeniyan,خانه زنيان
Fars,فارس,Kharameh,خرامه
Fars,فارس,Khavaran,خاوران
Fars,فارس,Khesht,خشت
Fars,فارس,Khonj,خنج
Fars,فارس,Khumeh Zar,خومه زار
Fars,فارس,Khur,خور
Fars,فارس,Konartakhteh,كنارتخته
Fars,فارس,Kerehi,كره ائ
Fars,فارس,Kuhanjan,كوهنجان
Fars,فارس,Lamerd,لامرد
Fars,فارس,Lapui,لپوئي
Fars,فارس,Lar,لار
Fars,فارس,Latifi,لطيفي
Fars,فارس,Marvdasht,مرودشت
Fars,فارس,Masiri,مصيرئ
Fars,فارس,Meshkan,مشكان
Fars,فارس,Meymand,ميمند
Fars,فارس,Mobarakabad,مبارك آباد
Fars,فارس,Mohr,مهر
Fars,فارس,Neyriz,نی‌ریز
Fars,فارس,Nowbandegan,نوبندگان
Fars,فارس,Nowdan,نودان
Fars,فارس,Nujin,نوجين
Fars,فارس,Nurabad,نورآباد
Fars,فارس,Qaderabad,قادراباد
Fars,فارس,Qaemiyeh,قائميه
Fars,فارس,Qatruyeh,قطرويه
Fars,فارس,Qir,قير
Fars,فارس,Qotbabad,قطب آباد
Fars,فارس,Ramjerd,رامجرد
Fars,فارس,Roniz,رونيز
Fars,فارس,Saadat Shahr,سعادت شهر
Fars,فارس,Safashahr,صفاشهر
Fars,فارس,Sarvestan,سروستان
Fars,فارس,Sedeh,سده
Fars,فارس,Seyyedan,سيدان
Fars,فارس,Sadra New Town,شهر جدید صدرا
Fars,فارس,Shahr-e Pir,شهرپير
Fars,فارس,Sheshdeh,ششده
Fars,فارس,Shiraz,شیراز
Fars,فارس,Soghad,صغاد
Fars,فارس,Surmaq,سورمق
Fars,فارس,Varavi,وراوئ
Fars,فارس,Zahedshahr,زاهدشهر
Fars,فارس,Zarqan,زرقان
Gilan,گيلان,Ahmadsargurab,احمدسرگوراب
Gilan,گيلان,Amlash,املش
Gilan,گيلان,Asalem,اسالم
Gilan,گيلان,Astaneh-ye Ashrafiyeh,آستانه اشرفيه
Gilan,گيلان,Astara,آستارا
Gilan,گيلان,Bandar-e Anzali,بندر انزلی
Gilan,گيلان,Bareh Sar,بره سر
Gilan,گيلان,Bazar Jomeh,بازار جمعه
Gilan,گيلان,Chaboksar,چابكسر
Gilan,گيلان,Chaf & Chamkhaleh,چاف و چمخاله
Gilan,گيلان,Chubar,چوبر
Gilan,گيلان,Deylaman,ديلمان
Gilan,گيلان,Fuman,فومن
Gilan,گيلان,Gurab Zarmikh,گوراب زرميخ
Gilan,گيلان,Hashtpar,هشتپر
Gilan,گيلان,Haviq,حويق
Gilan,گيلان,Jirandeh,جيرنده
Gilan,گيلان,Kelachay,كلاچائ
Gilan,گيلان,Khomam,خمام
Gilan,گيلان,Khoshk-e Bijar,خشكبيجار
Gilan,گيلان,Kiashahr,كياشهر
Gilan,گيلان,Kuchesfahan,كوچصفهان
Gilan,گيلان,Kumeleh,كومله
Gilan,گيلان,Lahijan,لاهيجان
Gilan,گيلان,Langarud,لنگرود
Gilan,گيلان,Lasht-e Nesha,لشت نشإ
Gilan,گيلان,Lavandevil,لوندويل
Gilan,گيلان,Lisar,ليسار
Gilan,گيلان,Luleman,لولمان
Gilan,گيلان,Lowshan,لوشان
Gilan,گيلان,Manjil,منجيل
Gilan,گيلان,Marjaghal,مرجقل
Gilan,گيلان,Masal,ماسال
Gilan,گيلان,Masuleh,ماسوله
Gilan,گيلان,Otaqvar,اطاقور
Gilan,گيلان,Pareh Sar,پره سر
Gilan,گيلان,Rahimabad,رحيم آباد
Gilan,گيلان,Rankuh,رانكوه
Gilan,گيلان,Rasht,رشت
Gilan,گيلان,Rezvanshahr,رضوانشهر
Gilan,گيلان,Rostamabad,رستم آباد
Gilan,گيلان,Rudbar,رودبار
Gilan,گيلان,Rudboneh,رودبنه
Gilan,گيلان,Rudsar,رودسر
Gilan,گيلان,Sangar,سنگر
Gilan,گيلان,Shaft,شفت
Gilan,گيلان,Shalman,شلمان
Gilan,گيلان,Siahkal,سياهكل
Gilan,گيلان,Sowme'eh Sara,صومعه سرا
Gilan,گيلان,Tutkabon,توتكابن
Gilan,گيلان,Vajargah,واجارگاه
Golestan,گلستان,Aliabad,علي اباد
Golestan,گلستان,Anbar Olum,انبارآلوم
Golestan,گلستان,Aqqala,آق قلا
Golestan,گلستان,Azadshahr,آزادشهر
Golestan,گلستان,Bandar-e Gaz,بندرگز
Golestan,گلستان,Bandar-e Torkaman ,بندرتركمن
Golestan,گلستان,Daland,دلند
Golestan,گلستان,Fazelabad,فاضل آباد
Golestan,گلستان,Galikash,گاليكش
Golestan,گلستان,Gomish Tappeh,گميش تپه
Golestan,گلستان,Gonbad-e Qabus,گنبدكاووس
Golestan,گلستان,Gorgan,گرگان
Golestan,گلستان,Incheh Borun,اينچه برون
Golestan,گلستان,Jelin,جلين
Golestan,گلستان,Kalaleh,كلاله
Golestan,گلستان,Khan Bebin,خان ببين
Golestan,گلستان,Kordkuy,کردکوی
Golestan,گلستان,Maraveh,مراوه
Golestan,گلستان,Minudasht,مينودشت
Golestan,گلستان,Negin Shahr,نگين شهر
Golestan,گلستان,Nowdeh Khanduz,نوده خاندوز
Golestan,گلستان,Nowkandeh,نوكنده
Golestan,گلستان,Ramian,راميان
Golestan,گلستان,Sarkhonkalateh,سرخنكلاته
Golestan,گلستان,Simin Shahr,سيمين شهر
Hamadan,همدان,Asadabad,اسدآباد
Hamadan,همدان,Azandarian,ازندريان
Hamadan,همدان,Bahar,بهار
Hamadan,همدان,Barzul,برزول
Hamadan,همدان,Damaq,دمق
Hamadan,همدان,Famenin,فامنين
Hamadan,همدان,Farasfaj,فرسفج
Hamadan,همدان,Firuzan,فيروزان
Hamadan,همدان,Giyan,گيان
Hamadan,همدان,Gol Tappeh,گل تپه
Hamadan,همدان,Hamadan,همدان
Hamadan,همدان,Jowkar,جوكار
Hamadan,همدان,Juraqan,جورقان
Hamadan,همدان,Kabudarahang,كبودراهنگ
Hamadan,همدان,Lalejin,لالجين
Hamadan,همدان,Malayer,ملاير
Hamadan,همدان,Maryanaj,مريانج
Hamadan,همدان,Nahavand,نهاوند
Hamadan,همدان,Qahavand,قهاوند
Hamadan,همدان,Qorveh-e Darjazin,قروه درجزين
Hamadan,همدان,Razan,رزن
Hamadan,همدان,Salehabad,صالح آباد
Hamadan,همدان,Samen,سامن
Hamadan,همدان,Sarkan,سركان
Hamadan,همدان,Shirin Su,شيرين سو
Hamadan,همدان,Tuyserkan,تويسركان
Hamadan,همدان,Zangeneh,زنگنه
Hormozgan,هرمزگان,Abu Musa,ابوموسي
Hormozgan,هرمزگان,Bandar-e Abbas,بندرعباس
Hormozgan,هرمزگان,Bandar-e Jask,بندرجاسك
Hormozgan,هرمزگان,Bandar-e Lengeh,بندرلنگه
Hormozgan,هرمزگان,Bastak,بستك
Hormozgan,هرمزگان,Bika,بيكا
Hormozgan,هرمزگان,Bandar-e Charak,چارك
Hormozgan,هرمزگان,Dargahan,درگهان
Hormozgan,هرمزگان,Dehbarez,دهبارز
Hormozgan,هرمزگان,Fareghan,فارغان
Hormozgan,هرمزگان,Fin,فين
Hormozgan,هرمزگان,Gowharan,گوهران
Hormozgan,هرمزگان,Hajjiabad,حاجى اباد
Hormozgan,هرمزگان,Hashtbandi,هشتبندئ
Hormozgan,هرمزگان,Hormuz,هرمز
Hormozgan,هرمزگان,Jenah,جناح
Hormozgan,هرمزگان,Bandar Khamir,خمير
Hormozgan,هرمزگان,Kish,كيش
Hormozgan,هرمزگان,Kong,كنگ
Hormozgan,هرمزگان,Kushk-e Nar,كوشكنار
Hormozgan,هرمزگان,Minab,ميناب
Hormozgan,هرمزگان,Parsian,پارسيان
Hormozgan,هرمزگان,Qaleh Qazi,قلعه قاضي
Hormozgan,هرمزگان,Qeshm,قشم
Hormozgan,هرمزگان,Ruydar,رويدر
Hormozgan,هرمزگان,Sardasht,سردشت
Hormozgan,هرمزگان,Sargaz,سرگز
Hormozgan,هرمزگان,Senderk,سندرك
Hormozgan,هرمزگان,Sirik,سيريك
Hormozgan,هرمزگان,Suza,سوزا
Hormozgan,هرمزگان,Takht,تخت
Hormozgan,هرمزگان,Ziarat-e Ali,زيارتعلي
Ilam,ایلام,Abdanan,آبدانان
Ilam,ایلام,Arakvaz,اركواز
Ilam,ایلام,Asemanabad,آسمان آباد
Ilam,ایلام,Badreh,بدره
Ilam,ایلام,Chavar,چوار
Ilam,ایلام,Darreh Shahr,دره شهر
Ilam,ایلام,Dehloran,دهلران
Ilam,ایلام,Delgosha,دلگشا
Ilam,ایلام,Eyvan,ايوان
